fecha,departamento,enCurso,cantCasosNuevos,cantFallecidos,acumFallecidos,cantRecuperados,acumRecuperados,acumCasos
10/05/2020,Canelones (UY-CA ),19,1,0,2,0,78,99
10/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
10/05/2020,Colonia (UY-CO ),2,1,0,0,1,8,10
10/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
10/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
10/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
10/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
10/05/2020,Maldonado (UY-MA ),10,1,0,4,1,18,32
10/05/2020,Montevideo (UY-MO ),124,0,1,13,2,381,518
10/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
10/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
10/05/2020,Rivera (UY-RV ),1,0,0,0,0,0,1
10/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
10/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
10/05/2020,San José (UY-SJ ),2,2,0,0,0,3,5
10/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
10/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
10/05/2020,Treinta y Tres (UY-TT ),12,0,0,0,0,0,12
11/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
11/05/2020,Canelones (UY-CA ),20,2,0,2,1,79,101
11/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
11/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
11/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
11/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
11/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
11/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
11/05/2020,Maldonado (UY-MA ),13,4,0,4,1,19,36
11/05/2020,Montevideo (UY-MO ),119,-2,0,13,3,384,516
11/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
11/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
11/05/2020,Rivera (UY-RV ),1,0,0,0,0,0,1
11/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
11/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
11/05/2020,San José (UY-SJ ),2,0,0,0,0,3,5
11/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
11/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
11/05/2020,Treinta y Tres (UY-TT ),11,0,0,0,1,1,12
12/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
12/05/2020,Canelones (UY-CA ),18,0,0,2,2,81,101
12/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
12/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
12/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
12/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
12/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
12/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
12/05/2020,Maldonado (UY-MA ),9,-1,0,4,3,22,35
12/05/2020,Montevideo (UY-MO ),121,6,0,13,4,388,522
12/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
12/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
12/05/2020,Rivera (UY-RV ),2,1,0,0,0,0,2
12/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
12/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
12/05/2020,San José (UY-SJ ),2,0,0,0,0,3,5
12/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
12/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
12/05/2020,Treinta y Tres (UY-TT ),11,0,0,0,0,1,12
13/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
13/05/2020,Canelones (UY-CA ),15,0,0,2,3,84,101
13/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
13/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
13/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
13/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
13/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
13/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
13/05/2020,Maldonado (UY-MA ),10,2,0,4,1,23,37
13/05/2020,Montevideo (UY-MO ),115,0,0,13,6,394,522
13/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
13/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
13/05/2020,Rivera (UY-RV ),2,0,0,0,0,0,2
13/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
13/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
13/05/2020,San José (UY-SJ ),2,0,0,0,0,3,5
13/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
13/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
13/05/2020,Treinta y Tres (UY-TT ),8,0,0,0,3,4,12
14/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
14/05/2020,Canelones (UY-CA ),16,2,0,2,1,85,103
14/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
14/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
14/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
14/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
14/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
14/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
14/05/2020,Maldonado (UY-MA ),12,1,0,4,-1,22,38
14/05/2020,Montevideo (UY-MO ),115,2,0,13,2,396,524
14/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
14/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
14/05/2020,Rivera (UY-RV ),2,0,0,0,0,0,2
14/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
14/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
14/05/2020,San José (UY-SJ ),2,0,0,0,0,3,5
14/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
14/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
14/05/2020,Treinta y Tres (UY-TT ),8,0,0,0,0,4,12
15/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
15/05/2020,Canelones (UY-CA ),15,1,0,2,2,87,104
15/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
15/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
15/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
15/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
15/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
15/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
15/05/2020,Maldonado (UY-MA ),13,1,0,4,0,22,39
15/05/2020,Montevideo (UY-MO ),117,6,0,13,4,400,530
15/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
15/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
15/05/2020,Rivera (UY-RV ),2,0,0,0,0,0,2
15/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
15/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
15/05/2020,San José (UY-SJ ),2,0,0,0,0,3,5
15/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
15/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
15/05/2020,Treinta y Tres (UY-TT ),8,0,0,0,0,4,12
16/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
16/05/2020,Canelones (UY-CA ),15,0,0,2,0,87,104
16/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
16/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
16/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
16/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
16/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
16/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
